Nr.,ZSK1,ZSK2,ZSK3,Vola4,Vola5,Vola6,Verlust7,Verlust8,MR9,MR10,MR11,MR12,MR13,MR14,MR15,MR16,MR17,MR18,MR19,MR20,EM,SCR,Quote
5960,0.5405694842338562,0.0908581018447876,0.7197163701057434,0.431469202041626,0.18872779607772827,0.1769007444381714,0.620035707950592,0.5051693916320801,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1520562286.140599,459050880.15848136,3.3124046851095126
5961,0.8528863787651062,0.9664074182510376,0.6555684208869934,0.936413049697876,0.7363962531089783,0.3463953733444214,0.674051821231842,0.6556210517883301,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1088127854.8561356,392713413.4538825,2.7707937075185174
5962,0.2537652850151062,0.2637706995010376,0.2634785771369934,0.612682580947876,0.20758765935897827,0.4328211545944214,0.914774477481842,0.4334530830383301,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1445255925.343971,612439281.0188934,2.359835448404861
5963,0.1007959246635437,0.8320537805557251,0.2305043339729309,0.6959803104400635,0.0045694708824157715,0.9012507200241089,0.9313607811927795,0.11806917190551758,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,511710012.1169217,1063500853.4432851,0.4811561838057429
5964,0.9389001727104187,0.0364910364151001,0.4609425663948059,0.4734156131744385,0.26601356267929077,0.3356684446334839,0.9718576073646545,0.9653286933898926,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1070354313.1718596,418944655.3390543,2.554882368186833
5965,0.2633020281791687,0.2507854700088501,0.2555592656135559,0.7770655155181885,0.29256385564804077,0.4435175657272339,0.08581024408340454,0.3109707832336426,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,977693435.8102903,972012635.5739524,1.005844368713359
5966,0.9226648211479187,0.4601970911026001,0.06482440233230591,0.03677010536193848,0.45095008611679077,0.1558588743209839,0.38628631830215454,0.09704256057739258,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1066946988.5023383,410857354.9258941,2.596879368740478
5967,0.7685205340385437,0.5788799524307251,0.7400258183479309,0.9174158573150635,0.09026283025741577,0.3941706418991089,0.20260101556777954,0.05434846878051758,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,986952460.3797499,550893813.2930056,1.7915475479388192
5968,0.0525934100151062,0.8672863245010376,0.4529317021369934,0.04432320594787598,0.9126657843589783,0.3175867795944214,0.26047760248184204,0.3963437080383301,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1508936704.2378707,838160802.6107993,1.8002950025074684
5969,0.011821925640106201,0.2396007776260376,0.5859883427619934,0.895153284072876,0.6101755499839783,0.4750574827194214,0.03806549310684204,0.3135800361633301,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,-639136281.7537045,1637711747.5018082,-0.3902617678163775
5970,0.7065088152885437,0.2649151086807251,0.1819203495979309,0.09173226356506348,0.06731361150741577,0.9630182981491089,0.9960580468177795,0.17397737503051758,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1230277464.1690223,340114147.76094306,3.61724871566869
5971,0.3342248797416687,0.6630169153213501,0.1438649296760559,0.7371485233306885,0.5373148322105408,0.3342646360397339,0.5385690331459045,0.5776944160461426,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1432898208.315381,559885925.0916865,2.559268136773988
5972,0.0018426775932312012,0.5507885217666626,0.8086751103401184,0.758342981338501,0.42685645818710327,0.8062647581100464,0.700693666934967,0.3569455146789551,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,-1280650356.2522411,1346095324.1629882,-0.951381624513523
5973,0.8512231707572937,0.018272042274475098,0.3593495488166809,0.24694466590881348,0.5391764044761658,0.7349299192428589,0.11782318353652954,0.4961819648742676,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1091074186.1577942,419379238.6630042,2.6016409148821413
5974,0.8072778582572937,0.1501079797744751,0.9638417363166809,0.4334681034088135,0.9796060919761658,0.4136408567428589,0.08169037103652954,0.6045804023742676,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1160087757.961772,440750763.8870087,2.632072030303215
5975,0.8965570330619812,0.0541454553604126,0.7361043095588684,0.663555383682251,0.6487192511558533,0.3281763792037964,0.572458803653717,0.4291501045227051,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1088132978.1726189,400131619.84287775,2.7194376155523603
5976,0.4501306414604187,0.0027996301651000977,0.06201678514480591,0.17019295692443848,0.6756815314292908,0.6066645383834839,0.6588693261146545,0.4042935371398926,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1225364974.1483316,623300590.0855007,1.9659294305821904
5977,0.3675042986869812,0.8913036584854126,0.4746297001838684,0.697979211807251,0.7954477667808533,0.1379908323287964,0.39301544427871704,0.21748018264770508,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1250385855.7720635,583297962.2782614,2.143648592373393
5978,0.1590997576713562,0.6102672815322876,0.03648883104324341,0.856151819229126,0.7896799445152283,0.7490442991256714,0.778605043888092,0.4044613838195801,0.0,0.0,0.7000000000000007,0.3,0.33333333333333326,0.6666666666666666,0.35,0.025500000000000002,0.8666666666666666,0.5,0,0.3,-742285052.2421386,1088455572.982546,-0.6819617361213525
5979,0.6891137957572937,0.5046001672744751,0.9003651738166809,0.6238977909088135,0.40831702947616577,0.1275080442428589,0.9400888085365295,0.029385089874267578,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1340250330.8177214,454479935.0430538,2.948975801738655
5980,0.5126306414604187,0.8152996301651001,0.6245167851448059,0.4826929569244385,0.7381815314292908,0.4191645383834839,0.22136932611465454,0.7167935371398926,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1402084882.553751,481206008.35578793,2.9136894764561947
5981,0.5968133807182312,0.015876412391662598,0.6634114384651184,0.444133996963501,0.6194834113121033,0.4783838987350464,0.934336245059967,0.9060177803039551,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1438115421.574091,453055103.9842565,3.174261605105027
5982,0.2880823016166687,0.5514446496963501,0.2285817265510559,0.23299813270568848,0.7997660040855408,0.2969111204147339,0.40062958002090454,0.7415127754211426,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.04499999999999999,0.37999999999999995,1.0,1,0.6,1311458337.5559943,406683413.83177376,3.224764750544964
5983,0.0960199236869812,0.7057567834854126,0.03127032518386841,0.028057336807250977,0.8052133917808533,0.10869395732879639,0.48090606927871704,0.9538083076477051,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1859351715.3290057,550150865.9572784,3.379712421416769
5984,0.5697748064994812,0.4094921350479126,0.5450642704963684,0.611675500869751,0.6793588995933533,0.6112574338912964,0.598215639591217,0.7268795967102051,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1307954724.40778,450224143.29837346,2.905119025438335
5985,0.7019464373588562,0.8567272424697876,0.6721089482307434,0.824291467666626,0.26026099920272827,0.2123011350631714,0.763834536075592,0.3237729072570801,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1282614185.5039175,414877960.491957,3.091545725839497
5986,0.4369775652885437,0.0735088586807251,0.7561390995979309,0.3690760135650635,0.23528236150741577,0.4591120481491089,0.5077767968177795,0.6388211250305176,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1506854276.1014614,455847492.91457933,3.305610537565968
5987,0.0584222674369812,0.3185497522354126,0.6928914189338684,0.543194055557251,0.7598032355308533,0.7449244260787964,0.07221466302871704,0.6798825263977051,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,134646369.1288928,1288815878.321347,0.10447292851812673
5988,0.2803003191947937,0.1060405969619751,0.9710438847541809,0.7868616580963135,0.7944254279136658,0.3441828489303589,0.16506439447402954,0.7294583320617676,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1284586625.5243294,801789333.2147086,1.6021498070744902
5989,0.0850030779838562,0.9575573205947876,0.6196187138557434,0.23176217079162598,0.28784888982772827,0.3795374631881714,0.512125551700592,0.3288998603820801,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1640148216.973834,673466747.5945259,2.43538114217529
5990,0.6101190447807312,0.6009594202041626,0.03316241502761841,0.959881067276001,0.19724220037460327,0.3701075315475464,0.38416534662246704,0.18153047561645508,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1147526516.8363671,530064573.2547133,2.1648806102816898
5991,0.4081384539604187,0.1287761926651001,0.6840870976448059,0.3039820194244385,0.27431434392929077,0.8107661008834839,0.04656463861465454,0.24120759963989258,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.05,0.4825,0.37999999999999995,1.0,1,0.6,420449646.2651195,1245762981.345053,0.33750372467414236
5992,0.5343133807182312,0.2033764123916626,0.10091143846511841,0.13163399696350098,0.5569834113121033,0.6658838987350464,0.37183624505996704,0.5935177803039551,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1331930194.3968916,420440218.5429232,3.1679419229036325
